county,lat,lon,month,ghi,dni,temp_air,median_income,county_fips,land_area_sqkm
Bee,28.4175,-97.7413,1,124.39514784946238,166.72819892473117,15.544973118279568,50283,48025,2303
Bee,28.4175,-97.7413,2,151.43979166666665,149.46388392857142,15.945684523809524,50283,48025,2303
Bee,28.4175,-97.7413,3,169.80577956989248,133.14086021505378,21.235013440860214,50283,48025,2303
Bee,28.4175,-97.7413,4,199.8180972222222,150.6927638888889,22.145736111111113,50283,48025,2303
Bee,28.4175,-97.7413,5,227.1942741935484,154.1651075268817,25.285053763440864,50283,48025,2303
Bee,28.4175,-97.7413,6,310.0967638888889,316.0410833333333,30.27698611111111,50283,48025,2303
Bee,28.4175,-97.7413,7,298.45685483870966,275.468938172043,31.857755376344084,50283,48025,2303
Bee,28.4175,-97.7413,8,288.81423387096777,311.1535215053763,32.162244623655916,50283,48025,2303
Bee,28.4175,-97.7413,9,250.64894444444442,279.49186111111106,31.17048611111111,50283,48025,2303
Bee,28.4175,-97.7413,10,162.87479838709677,162.6602688172043,23.9120564516129,50283,48025,2303
Bee,28.4175,-97.7413,11,116.91079166666667,122.25655555555555,17.29801388888889,50283,48025,2303
Bee,28.4175,-97.7413,12,131.36861559139786,181.8084946236559,15.312379032258065,50283,48025,2303
Bell,31.0382,-97.4781,1,126.68310483870967,188.78612903225806,11.346491935483872,62858,48027,2737
Bell,31.0382,-97.4781,2,152.96197916666665,181.41931547619046,11.67142857142857,62858,48027,2737
Bell,31.0382,-97.4781,3,184.0861424731183,163.50448924731182,17.58801075268817,62858,48027,2737
Bell,31.0382,-97.4781,4,208.43312500000002,179.47916666666666,19.26701388888889,62858,48027,2737
Bell,31.0382,-97.4781,5,233.14825268817202,144.5088440860215,23.457916666666666,62858,48027,2737
Bell,31.0382,-97.4781,6,282.0344166666667,250.8455277777778,30.216722222222224,62858,48027,2737
Bell,31.0382,-97.4781,7,299.07447580645163,282.3465188172043,33.077594086021506,62858,48027,2737
Bell,31.0382,-97.4781,8,293.7194489247312,310.1275268817204,34.02157258064516,62858,48027,2737
Bell,31.0382,-97.4781,9,228.94466666666668,247.4991527777778,29.7255,62858,48027,2737
Bell,31.0382,-97.4781,10,171.30103494623657,195.24081989247313,21.698104838709675,62858,48027,2737
Bell,31.0382,-97.4781,11,126.2743611111111,162.26609722222221,14.289708333333333,62858,48027,2737
Bell,31.0382,-97.4781,12,131.4249865591398,226.4958870967742,11.620833333333334,62858,48027,2737
Bexar,29.4241,-98.4936,1,135.5574059139785,201.10879032258066,12.975309139784946,67275,48029,3237
Bexar,29.4241,-98.4936,2,159.60086309523808,180.86279761904763,13.355580357142859,67275,48029,3237
Bexar,29.4241,-98.4936,3,173.51107526881722,139.41612903225808,19.331693548387097,67275,48029,3237
Bexar,29.4241,-98.4936,4,205.8738611111111,166.71230555555556,20.794666666666668,67275,48029,3237
Bexar,29.4241,-98.4936,5,222.31418010752688,140.61052419354837,23.860497311827956,67275,48029,3237
Bexar,29.4241,-98.4936,6,288.9311666666667,263.85394444444444,29.79226388888889,67275,48029,3237
Bexar,29.4241,-98.4936,7,299.45888440860216,285.0504704301075,32.34090053763441,67275,48029,3237
Bexar,29.4241,-98.4936,8,291.4134677419355,308.1521774193548,32.55569892473118,67275,48029,3237
Bexar,29.4241,-98.4936,9,241.367375,247.47144444444444,30.780958333333334,67275,48029,3237
Bexar,29.4241,-98.4936,10,159.91315860215053,159.87112903225807,22.649798387096777,67275,48029,3237
Bexar,29.4241,-98.4936,11,123.74026388888889,151.152875,15.259277777777779,67275,48029,3237
Bexar,29.4241,-98.4936,12,128.58989247311828,205.9534139784946,13.29891129032258,67275,48029,3237
Brazoria,29.1563,-95.4346,1,115.59123655913979,157.33010752688173,15.580981182795698,91972,48039,3432
Brazoria,29.1563,-95.4346,2,138.3623363095238,143.10459821428572,15.553184523809524,91972,48039,3432
Brazoria,29.1563,-95.4346,3,172.28774193548387,145.39993279569893,19.839771505376344,91972,48039,3432
Brazoria,29.1563,-95.4346,4,199.50449999999998,155.058375,21.261791666666667,91972,48039,3432
Brazoria,29.1563,-95.4346,5,228.8659139784946,154.45780913978496,25.211021505376344,91972,48039,3432
Brazoria,29.1563,-95.4346,6,295.01475,263.56924999999995,28.861152777777775,91972,48039,3432
Brazoria,29.1563,-95.4346,7,276.5091532258065,254.2605376344086,30.63779569892473,91972,48039,3432
Brazoria,29.1563,-95.4346,8,290.80756720430105,300.9930376344086,31.79045698924731,91972,48039,3432
Brazoria,29.1563,-95.4346,9,224.403875,228.14398611111113,30.27163888888889,91972,48039,3432
Brazoria,29.1563,-95.4346,10,176.28564516129032,201.3162634408602,23.650309139784948,91972,48039,3432
Brazoria,29.1563,-95.4346,11,121.98243055555557,140.84830555555556,17.692722222222223,91972,48039,3432
Brazoria,29.1563,-95.4346,12,127.78754032258064,186.89751344086022,15.258723118279569,91972,48039,3432
Brazos,30.628,-96.3344,1,117.65360215053764,172.08557795698925,12.074368279569892,57562,48041,1581
Brazos,30.628,-96.3344,2,150.75964285714286,161.01074404761906,12.712053571428571,57562,48041,1581
Brazos,30.628,-96.3344,3,170.57209677419354,142.21256720430108,17.844959677419354,57562,48041,1581
Brazos,30.628,-96.3344,4,193.4591111111111,153.80454166666667,19.059666666666665,57562,48041,1581
Brazos,30.628,-96.3344,5,229.56829301075268,147.60037634408604,23.580241935483873,57562,48041,1581
Brazos,30.628,-96.3344,6,293.6336944444445,259.36659722222225,28.800069444444443,57562,48041,1581
Brazos,30.628,-96.3344,7,299.9308064516129,280.1410215053764,32.67208333333333,57562,48041,1581
Brazos,30.628,-96.3344,8,295.8163844086022,310.0138306451613,34.16845430107527,57562,48041,1581
Brazos,30.628,-96.3344,9,231.6417361111111,232.22868055555554,30.260902777777776,57562,48041,1581
Brazos,30.628,-96.3344,10,170.49376344086022,190.44861559139784,21.98018817204301,57562,48041,1581
Brazos,30.628,-96.3344,11,118.21968055555556,140.82227777777777,15.120291666666667,57562,48041,1581
Brazos,30.628,-96.3344,12,134.12306451612903,218.6005376344086,12.324059139784946,57562,48041,1581
Brewster,29.7952,-103.2527,1,166.31540322580645,265.67887096774194,9.764126344086021,47747,48043,15934
Brewster,29.7952,-103.2527,2,198.7771130952381,267.5434226190476,10.217410714285714,47747,48043,15934
Brewster,29.7952,-103.2527,3,235.1967607526882,249.6936559139785,15.812701612903226,47747,48043,15934
Brewster,29.7952,-103.2527,4,303.9137083333333,325.40468055555556,19.58663888888889,47747,48043,15934
Brewster,29.7952,-103.2527,5,276.34830645161287,230.4911424731183,23.73725806451613,47747,48043,15934
Brewster,29.7952,-103.2527,6,323.780125,322.46504166666665,29.360222222222223,47747,48043,15934
Brewster,29.7952,-103.2527,7,327.46288978494624,351.19305107526884,30.650322580645163,47747,48043,15934
Brewster,29.7952,-103.2527,8,291.80197580645165,307.09733870967744,29.910551075268817,47747,48043,15934
Brewster,29.7952,-103.2527,9,266.64984722222226,317.3111666666667,26.56401388888889,47747,48043,15934
Brewster,29.7952,-103.2527,10,201.9050806451613,250.30966397849465,20.201263440860213,47747,48043,15934
Brewster,29.7952,-103.2527,11,145.4037361111111,195.54143055555554,13.180916666666667,47747,48043,15934
Brewster,29.7952,-103.2527,12,159.92499999999998,275.5842204301075,9.979543010752687,47747,48043,15934
Calhoun,28.4388,-96.6102,1,122.6669758064516,152.1881317204301,15.823440860215053,62267,48057,1368
Calhoun,28.4388,-96.6102,2,151.84934523809522,148.99571428571429,15.939345238095237,62267,48057,1368
Calhoun,28.4388,-96.6102,3,173.5157123655914,141.13334677419357,20.787849462365593,62267,48057,1368
Calhoun,28.4388,-96.6102,4,211.09884722222225,172.45668055555555,22.01901388888889,62267,48057,1368
Calhoun,28.4388,-96.6102,5,235.23586021505378,162.87065860215054,25.605833333333337,62267,48057,1368
Calhoun,28.4388,-96.6102,6,301.5916111111111,281.474875,29.476166666666668,62267,48057,1368
Calhoun,28.4388,-96.6102,7,297.7840591397849,269.86321236559144,30.855685483870968,62267,48057,1368
Calhoun,28.4388,-96.6102,8,286.72642473118276,298.39255376344084,31.67454301075269,62267,48057,1368
Calhoun,28.4388,-96.6102,9,248.29934722222222,274.58958333333334,30.838319444444444,62267,48057,1368
Calhoun,28.4388,-96.6102,10,170.18654569892473,175.6212365591398,24.121666666666666,62267,48057,1368
Calhoun,28.4388,-96.6102,11,111.21844444444444,104.32905555555556,17.718013888888887,62267,48057,1368
Calhoun,28.4388,-96.6102,12,127.98309139784946,154.80442204301076,15.733991935483871,62267,48057,1368
Cameron,26.1544,-97.5286,1,138.397123655914,177.28794354838712,19.85375,47435,48061,2368
Cameron,26.1544,-97.5286,2,168.43715773809524,178.5629017857143,19.00876488095238,47435,48061,2368
Cameron,26.1544,-97.5286,3,176.32830645161292,149.36532258064517,23.17407258064516,47435,48061,2368
Cameron,26.1544,-97.5286,4,196.622875,148.07015277777776,24.22697222222222,47435,48061,2368
Cameron,26.1544,-97.5286,5,233.85451612903228,164.9959677419355,26.936935483870972,47435,48061,2368
Cameron,26.1544,-97.5286,6,300.0986388888889,290.2162916666667,30.469680555555552,47435,48061,2368
Cameron,26.1544,-97.5286,7,285.0607258064516,244.41254032258064,30.77704301075269,47435,48061,2368
Cameron,26.1544,-97.5286,8,270.6572446236559,242.65872311827957,31.078131720430108,47435,48061,2368
Cameron,26.1544,-97.5286,9,254.43372222222223,283.3563888888889,31.284041666666663,47435,48061,2368
Cameron,26.1544,-97.5286,10,176.51366935483873,197.43897849462365,26.54584677419355,47435,48061,2368
Cameron,26.1544,-97.5286,11,118.86481944444444,133.91319444444446,20.26222222222222,47435,48061,2368
Cameron,26.1544,-97.5286,12,124.64442204301075,145.1076612903226,18.762836021505375,47435,48061,2368
Collin,33.1962,-96.5785,1,113.44135752688172,177.74860215053764,9.04603494623656,113255,48085,2182
Collin,33.1962,-96.5785,2,137.27886904761903,167.42123511904762,9.424895833333332,113255,48085,2182
Collin,33.1962,-96.5785,3,183.670188172043,193.27604838709678,14.49893817204301,113255,48085,2182
Collin,33.1962,-96.5785,4,221.93741666666668,195.21086111111111,17.364208333333334,113255,48085,2182
Collin,33.1962,-96.5785,5,241.10767473118278,157.03404569892473,23.164583333333333,113255,48085,2182
Collin,33.1962,-96.5785,6,269.6489305555556,233.4941527777778,29.112,113255,48085,2182
Collin,33.1962,-96.5785,7,279.4812768817204,261.8545698924731,32.636008064516126,113255,48085,2182
Collin,33.1962,-96.5785,8,285.6975268817204,303.76754032258066,34.90827956989247,113255,48085,2182
Collin,33.1962,-96.5785,9,213.833375,220.7569722222222,29.205055555555553,113255,48085,2182
Collin,33.1962,-96.5785,10,164.87975806451612,206.53837365591397,20.43045698924731,113255,48085,2182
Collin,33.1962,-96.5785,11,135.17138888888888,215.46509722222223,12.913902777777778,113255,48085,2182
Collin,33.1962,-96.5785,12,116.1700940860215,205.8557123655914,9.441451612903226,113255,48085,2182
Comal,29.8085,-98.2659,1,135.5574059139785,201.10879032258066,11.843588709677418,93744,48091,1445
Comal,29.8085,-98.2659,2,159.60086309523808,180.86279761904763,12.170238095238094,93744,48091,1445
Comal,29.8085,-98.2659,3,173.51107526881722,139.41612903225808,18.31432795698925,93744,48091,1445
Comal,29.8085,-98.2659,4,205.8738611111111,166.71230555555556,19.492819444444443,93744,48091,1445
Comal,29.8085,-98.2659,5,222.31418010752688,140.61052419354837,23.210013440860216,93744,48091,1445
Comal,29.8085,-98.2659,6,288.9311666666667,263.85394444444444,29.268652777777778,93744,48091,1445
Comal,29.8085,-98.2659,7,299.45888440860216,285.0504704301075,32.29829301075269,93744,48091,1445
Comal,29.8085,-98.2659,8,291.4134677419355,308.1521774193548,32.89575268817204,93744,48091,1445
